isbn13,title,authors,categories,thumbnail,yearPublished,averageRating
9780002005883,Gilead,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.85
9780002261982,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.83
9780006163831,The One Tree,Stephen R. Donaldson,American fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1982,3.97
9780006178736,Rage of angels,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993,3.93
9780006280897,The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.15
9780006280934,The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.09
9780006353287,An Autobiography,Agatha Christie,"Authors, English",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1977,4.27
9780006380832,Empires of the Monsoon,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,4.41
9780006470229,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,4.15
9780006472612,Master of the Game,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1982,4.11
9780006479673,If Tomorrow Comes,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,4.04
9780006480099,Assassin's Apprentice,Robin Hobb,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.15
9780006482079,Warhost of Vastmark,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995,4.03
9780006483014,The Once and Future King,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.04
9780006483892,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.7
9780006483908,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.95
9780006486145,Well of Darkness,Margaret Weis;Tracy Hickman,,http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.66
9780006490456,Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995,4.05
9780006496434,The Little House,Philippa Gregory,Country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.66
9780006496878,Mystical Paths,Susan Howatch,English fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.23
9780006496892,Glittering Images,Susan Howatch,English fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.07
9780006496922,Glamorous Powers,Susan Howatch,Clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.2
9780006498865,The Mad Ship,Robin Hobb,Fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4.24
9780006499169,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.29
9780006499268,The Reverse of the Medal,Patrick O'Brian,Adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997,4.41
9780006499626,Miss Marple,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997,4.2
9780006511489,The Years of Rice and Salt,Kim Stanley Robinson,Black Death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.73
9780006512677,Spares,Michael Marshall Smith,Human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,4.13
9780006513087,Gravity,Tess Gerritsen,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.04
9780006514640,The Wise Woman,Philippa Gregory,Great Britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.31
9780006514855,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.26
9780006545866,The White Album,Joan Didion,American essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993,4.17
9780006550433,The Bonesetter's Daughter,Amy Tan,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.98
9780006551393,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.59
9780006551812,'Tis,Frank McCourt,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.68
9780006646006,Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.5
9780006754893,A Small Pinch of Weather,Joan Aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4.27
9780006906018,The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,http://books.google.com/books/content?id=EJcQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4.1
9780007103676,Koko,Peter Straub,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.56
9780007105045,Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,4.09
9780007111503,Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.77
9780007113804,Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.89
9780007116263,"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.59
9780007117536,All Families are Psychotic,Douglas Coupland,Dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.69
9780007119332,Death in the Clouds,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.8
9780007119356,Appointment with Death,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.86
9780007120680,Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.66
9780007120697,Hercule Poirot's Christmas,Agatha Christie,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.93
9780007120819,The Big Four,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.59
9780007120864,The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.89
9780007120871,They Do it with Mirrors,Agatha Christie,American fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.75
9780007120963,A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.98
9780007120987,The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.91
9780007121007,Mrs McGinty's Dead,Agatha Christie,Belgians,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.83
9780007121014,Taken at the Flood,Agatha Christie,Fiction,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.71
9780007121021,The Hollow,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.79
9780007121106,Third Girl,Agatha Christie,Belgians,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.62
9780007122585,The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.86
9780007124015,The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",,2001,4.49
9780007126903,The Metaphysical Club,Louis Menand,Cambridge (Mass.),http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.07
9780007127740,The illustrated man,Ray Bradbury,Fiction,http://books.google.com/books/content?id=kePqlVft1bQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.14
9780007129652,Wilkins' Tooth,Diana Wynne Jones,Business enterprises,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.59
9780007130313,Cut,Patricia McCormick,Emotional problems,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.76
9780007135653,The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.54
9780007136582,The Lord of the Rings,John Ronald Reuel Tolkien,"Fantasy fiction, English",http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.49
9780007136599,The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.35
9780007137336,Lirael,Garth Nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.3
9780007149124,Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.08
9780007149612,Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.06
9780007149827,The Yiddish Policemen's Union,Michael Chabon,Fiction,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,3.7
9780007150304,"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.88
9780007151240,The Family Way,Tony Parsons,Parenthood,http://books.google.com/books/content?id=dJEIxdYmnU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.51
9780007151677,Endless Night,Agatha Christie,FICTION,http://books.google.com/books/content?id=kY1wuNfgmFQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.77
9780007153589,How to be Alone,Jonathan Franzen,Literary Collections,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.6
9780007154845,The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=n0aMDV7Lm4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.72
9780007154883,The Listerdale Mystery,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=J1tLGz5G84EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.55
9780007158058,The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,http://books.google.com/books/content?id=QfNgQfTKcg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.04
9780007158515,I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",http://books.google.com/books/content?id=oyF8U9BRTQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.2
9780007158522,"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.35
9780007162994,If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",http://books.google.com/books/content?id=0qUtSvo_MiEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.95
9780007171996,The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",http://books.google.com/books/content?id=PI9zPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.52
9780007173020,The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,http://books.google.com/books/content?id=hLH0dtl5NVwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.91
9780007173136,I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,http://books.google.com/books/content?id=m9cZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.16
9780007175222,Oh Say Can You Say?,Dr. Seuss,Children's stories,http://books.google.com/books/content?id=r4l8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.01
9780007178636,There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,http://books.google.com/books/content?id=jHE-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.98
9780007179817,Microserfs,Douglas Coupland,Computer programmers,http://books.google.com/books/content?id=N3AmmJIsK6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.88
9780007179824,Miss Wyoming,Douglas Coupland,Actors,http://books.google.com/books/content?id=2zoTKFNdxpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.48
9780007189953,Where Rainbows End,Cecelia Ahern,Friendship,http://books.google.com/books/content?id=PA7t62vA7SAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.94
9780007190683,Poirot,Agatha Christie,Authors,http://books.google.com/books/content?id=lbOOJGLxM9MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,4.2
9780007191925,The Art of The Lord of the Rings,Gary Russell,Costume,http://books.google.com/books/content?id=zl-PPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.52
9780007195305,The Known World,Edward P. Jones,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.83
9780007195718,Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,http://books.google.com/books/content?id=4hVbNc8rRfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.9
9780007204441,Naked Lunch,William S. Burroughs,Alienation (Social psychology),http://books.google.com/books/content?id=1B36S7t4k5AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.44
9780007204465,Tropic of Cancer,Henry Miller,Fiction,http://books.google.com/books/content?id=ProgRjTL8FIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.69
9780007205585,Close Range,Annie Proulx,Cowboys,http://books.google.com/books/content?id=f-zI3bgDiCAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,3.99
9780020199854,The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,http://books.google.com/books/content?id=3EDbEHca_k8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1994,3.65
9780020264736,The Song of Rhiannon,Evangeline Walton,Fiction,,1992,4.02
9780020360759,Heart Songs and Other Stories,Annie Proulx,Fiction,http://books.google.com/books/content?id=_K2fswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995,3.93
9780020442608,The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,http://books.google.com/books/content?id=fDD3CfYb70cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1970,4.09
9780020442806,"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,,1978,4.26
9780020518600,The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,http://books.google.com/books/content?id=Len1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1986,4.26
9780020867401,"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,,1982,4.22
9780023513206,Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,http://books.google.com/books/content?id=BCvcYQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1953,3.64
9780024181909,The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,http://books.google.com/books/content?id=ADaMf2tEB7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1979,4.2
9780024266408,The Presocratics,Philip Wheelwright,Philosophy,http://books.google.com/books/content?id=V45eMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1966,4.04
9780026995016,Spandau,Albert Speer,History,,1976,4.12
9780027054903,The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",,1971,4.17
9780027897500,The Journey with Grandmother,Edith Unnerstad,Grandmothers,,1960,3.75
9780029131695,Tyranny of the Majority,Lani Guinier,History,http://books.google.com/books/content?id=aRF7XdcCLq0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995,3.82
9780029221303,The Origins of the Civil Rights Movement,Aldon D. Morris,History,http://books.google.com/books/content?id=7vyHY9DWcu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1986,4.04
9780029227961,Presidential Power and the Modern Presidents,Richard E. Neustadt,History,http://books.google.com/books/content?id=elGozulX_o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1991,3.79
9780030420566,"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,http://books.google.com/books/content?id=8-40_Zrp5voC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1978,4.01
9780030547744,Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,http://books.google.com/books/content?id=IHpRwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4.37
9780060000141,Poppy's Return,Avi,Juvenile Fiction,http://books.google.com/books/content?id=XbcMJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,3.99
9780060001537,Diary of a Spider,Doreen Cronin,Juvenile Fiction,http://books.google.com/books/content?id=UWvZo2pIhzMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,4.25
9780060004507,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,http://books.google.com/books/content?id=SKYr4V6C1M0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.7
9780060005696,The Paradox of Choice,Barry Schwartz,Business & Economics,,2005,3.84
9780060009427,How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,http://books.google.com/books/content?id=irkUlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.65
9780060012342,The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,http://books.google.com/books/content?id=1Z8KJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,4.05
9780060012380,The Wee Free Men,Terry Pratchett,Juvenile Fiction,http://books.google.com/books/content?id=8PLblgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.27
9780060013134,Going Postal,Terry Pratchett,Fiction,http://books.google.com/books/content?id=5xRh5kkS84UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.38
9780060084387,Modern Mind,Peter Watson,Science,http://books.google.com/books/content?id=JVdMSavwwHoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.27
9780060085445,She Went All the Way,Meg Cabot,Fiction,http://books.google.com/books/content?id=3ANI1Q2Z-qsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.69
9780060085490,Island,Aldous Huxley,Fiction,http://books.google.com/books/content?id=MB3VSMgJ5CkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1962,3.85
9780060088743,A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,http://books.google.com/books/content?id=86bOlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,4.09
9780060090371,Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,http://books.google.com/books/content?id=qLl-3FGhPl0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.76
9780060092573,The Terminal Man,Michael Crichton,Fiction,http://books.google.com/books/content?id=9hERBFsuOcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.36
9780060093747,The Art of the Novel,Milan Kundera,Literary Criticism,http://books.google.com/books/content?id=H_3jAacr_U4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.96
9780060094935,The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,http://books.google.com/books/content?id=IsFpvCusQsIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.06
9780060099459,"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=SYCULYl-p-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.29
9780060175641,Identity,Milan Kundera,Fiction,http://books.google.com/books/content?id=D30ExgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.68
9780060177249,The thief of always,Clive Barker,Fiction,http://books.google.com/books/content?id=jKsrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1992,4.19
9780060192501,The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,http://books.google.com/books/content?id=1YX2usKBAMIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.85
9780060192778,Mars and Venus Book of Days,John Gray,Family & Relationships,http://books.google.com/books/content?id=kd6YGT74stsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.54
9780060218058,The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,http://books.google.com/books/content?id=D-iftWFTCcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.25
9780060245603,Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,http://books.google.com/books/content?id=s_2GIF_c0T8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,4.15
9780060256579,The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,http://books.google.com/books/content?id=-m4gwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1981,4.33
9780060256753,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,http://books.google.com/books/content?id=lmeJRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1963,4.15
9780060277406,The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,http://books.google.com/books/content?id=c7E_HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999,4.28
9780060278427,Laura's Album,William Anderson,Juvenile Nonfiction,http://books.google.com/books/content?id=_zTkqDlEV-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,4.3
9780060391539,Quivers,Robin Quivers,African Americans in radio broadcasting,http://books.google.com/books/content?id=3Fj1h-gIbUsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995,3.51
9780060502959,Moonspinners,Mary Stewart,Fiction,http://books.google.com/books/content?id=GRhFkTkZba4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.03
9780060504083,Small Wonder,Barbara Kingsolver,Literary Collections,http://books.google.com/books/content?id=2mrrlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.01
9780060506049,Worlds Enough & Time,Dan Simmons,Fiction,http://books.google.com/books/content?id=EKoIG4auiB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.75
9780060507404,The Cheese Monkeys,Chip Kidd,Fiction,http://books.google.com/books/content?id=wkCm2zyHAcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.75
9780060509057,Travels,Michael Crichton,Biography & Autobiography,http://books.google.com/books/content?id=QYilZGadTEYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.95
9780060510855,Caesar,Colleen McCullough,Fiction,http://books.google.com/books/content?id=aoH_-e_syp0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.36
9780060510862,The Forever War,Joe Haldeman,Fiction,http://books.google.com/books/content?id=jc1eCZlD-ScC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.15
9780060511067,Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=WEEz7PKLpQkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.14
9780060511104,The Secret Sister,Elizabeth Lowell,Fiction,http://books.google.com/books/content?id=Pmjr6ytkCikC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.65
9780060511111,Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=rELWOiQkJTYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,4.25
