isbn13,title,authors,categories,thumbnail,yearPublished,averageRating
9780842313353,Chosen by God,R. C. Sproul,Religion,http://books.google.com/books/content?id=PUvgxgm3ZaYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,4.33
9780842331913,Four Mothers at Chautauqua,Isabella Alden,Fiction,http://books.google.com/books/content?id=DkbhZB3J7sIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997,4.01
9780842332293,Desecration,Tim F. LaHaye;Jerry B. Jenkins,Fiction,http://books.google.com/books/content?id=j-9j_26aJOYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.01
9780842332361,Armageddon,Tim F. LaHaye;Jerry B. Jenkins,Fiction,http://books.google.com/books/content?id=snxYKQRZ688C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.03
9780842342704,Left behind,Tim Lahaye;Tim F. LaHaye;Jerry B. Jenkins,Fiction,http://books.google.com/books/content?id=xsfMpULeNOgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.83
9780842356220,Redemption,Gary Smalley;Karen Kingsbury,Fiction,http://books.google.com/books/content?id=EakLmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4.37
9780842356299,Remember,Karen Kingsbury;Gary Smalley,Fiction,http://books.google.com/books/content?id=OCW3xQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.42
9780842358934,"Sit, Walk, Stand",Watchman Nee,Religion,http://books.google.com/books/content?id=a2oGS75anKkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1977,4.41
9780842360616,Kingdom Come,Tim F. LaHaye;Jerry B. Jenkins,Fiction,http://books.google.com/books/content?id=dTKgAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,3.99
9780842361934,The Rising,Tim LaHaye;Tim F. LaHaye;Jerry B. Jenkins,Fiction,http://books.google.com/books/content?id=cZAlP8bJVI0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,4.19
9780842383677,The Origin of the Bible,Philip Wesley Comfort,Religion,http://books.google.com/books/content?id=fIEPccxGaxgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.84
9780842384117,Silenced,Jerry B. Jenkins,Fiction,http://books.google.com/books/content?id=gr3SLkOL4PcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2004,4.24
9780842386876,Rejoice,Karen Kingsbury;Gary Smalley,Fiction,http://books.google.com/books/content?id=pcpUvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.46
9780842386883,Reunion,Karen Kingsbury;Gary Smalley,Fiction,http://books.google.com/books/content?id=FtZ6mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.5
9780842387446,Forgiven,Karen Kingsbury,Fiction,http://books.google.com/books/content?id=pkvZ8GmuKCYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,4.41
9780843121315,Little Miss Birthday,Roger Hargreaves,Juvenile Fiction,http://books.google.com/books/content?id=FdcN0Drotd0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,4
9780843124927,Mr. Jelly and the Pirates,Roger Hargreaves,Juvenile Fiction,http://books.google.com/books/content?id=bM_jAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,3.82
9780843943993,Mountain Madness,David Thompson,Fiction,http://books.google.com/books/content?id=Dt4DAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,4.48
9780843944396,The Halloween Man,Douglas Clegg,Fiction,http://books.google.com/books/content?id=oYs2iDmnTUoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998,3.36
9780843945195,Gold Rage,David Thompson,Fiction,http://books.google.com/books/content?id=JwQDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999,4.29
9780843945805,The Nightmare Chronicles,Douglas Clegg,Fiction,http://books.google.com/books/content?id=8eOSRnFGwuQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1999,3.74
9780843946802,Sweet Revenge,Lynsay Sands,Fiction,http://books.google.com/books/content?id=vDK9pJQZ054C&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.98
9780843947250,"Something Borrowed, Something Blue",Constance O'Banyon;Evelyn Rogers;Bobbi Smith,Fiction,http://books.google.com/books/content?id=KsM-8iHo1bEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4
9780843947465,The House That Jack Built,Graham Masterton,Fiction,http://books.google.com/books/content?id=E6-3sHCMsiIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.87
9780843947663,Mischief,Douglas Clegg,Fiction,http://books.google.com/books/content?id=FiTnPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,3.49
9780843948103,The Deed,Lynsay Sands,Fiction,http://books.google.com/books/content?id=MVyzor_UGHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.93
9780843949094,Bliss,Lynsay Sands,Fiction,http://books.google.com/books/content?id=iFoKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.97
9780843949742,The Reluctant Reformer,Lynsay Sands,Fiction,http://books.google.com/books/content?id=FFYJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,3.93
9780843951424,The Hour Before Dark,Douglas Clegg,Fiction,http://books.google.com/books/content?id=H44iYRp13AEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,3.75
9780843951776,Nightmare House,Douglas Clegg,Fiction,http://books.google.com/books/content?id=nhxHPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.36
9780843953244,The Chase,Lynsay Sands,Fiction,http://books.google.com/books/content?id=xHwJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.05
9780843954104,The Abandoned,Douglas Clegg,Fiction,http://books.google.com/books/content?id=gVs8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.42
9780843954111,The Attraction,Douglas Clegg,Fiction,http://books.google.com/books/content?id=n6PFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,3.63
9780843954524,Blood Moon Over Bengal,Morag McKendrick Pippin,Fiction,http://books.google.com/books/content?id=bIMdDLnNSxsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.45
9780843955002,Love Is Blind,Lynsay Sands,Fiction,http://books.google.com/books/content?id=7s_DAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,4
9780843955828,Blood Moon Over Britain,Morag McKendrick Pippin,Fiction,http://books.google.com/books/content?id=EswzeFhvF9UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.44
9780844257471,The Shakespeare Plays: Romeo & Juliet,McGraw-Hill Education,Juvenile Nonfiction,http://books.google.com/books/content?id=UgIvCbMZvEIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,3.74
9780844667508,Child of God,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=HYGXPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,3.86
9780844670126,The Buried Mirror,Carlos Fuentes,Fiction,,1999,4.01
9780849911880,The Grace Awakening,Charles R. Swindoll,Religion,http://books.google.com/books/content?id=GZ0aPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,4.33
9780849918728,Lead Like Jesus,Ken Blanchard;Phil Hodges,Religion,http://books.google.com/books/content?id=nEAquAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,4.03
9780849945113,Blink,Ted Dekker,Fiction,http://books.google.com/books/content?id=ppIGVtoUkAgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,4.17
9780851115191,Salvation to the Ends of the Earth,Andreas J. K������stenberger;Peter Thomas O'B,Religion,http://books.google.com/books/content?id=R3fEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,3.92
9780851512280,The Valley of Vision,Arthur Bennett,Religion,http://books.google.com/books/content?id=RJ54MKLeQ3YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1975,4.53
9780851513348,Discovering God's Will,Sinclair B. Ferguson,Religion,http://books.google.com/books/content?id=m0MPAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1981,4.24
9780851621814,The Complete Theory Fun Factory,Katie Elliott;Ian Martin,Juvenile Nonfiction,http://books.google.com/books/content?id=RoX8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,5
9780851708706,Trainspotting,Murray Smith,Performing Arts,http://books.google.com/books/content?id=na1ZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002,4
9780851709680,The Shawshank redemption,Mark Kermode,Performing Arts,http://books.google.com/books/content?id=hYBZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2003,4.42
9780856684982,Exemplary Novels,Miguel de Cervantes Saavedra,,,1992,4.2
9780859533300,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",Audrey Wood,Juvenile Fiction,http://books.google.com/books/content?id=DTolngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,4.31
9780859537285,"Head, Shoulders, Knees and Toes ...",,Juvenile Nonfiction,,2002,4.06
9780859653237,Blink-182,Anne Hoppus,Rock groups,http://books.google.com/books/content?id=r658PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,4.41
9780859653725,Dissecting Marilyn Manson,Gavin Baddeley,Music,http://books.google.com/books/content?id=7_FrAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.86
9780860916284,For the Sake of Argument,Christopher Hitchens,Literary Collections,http://books.google.com/books/content?id=pFmwvQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,4.17
9780861366583,"20,000 Leagues Under the Sea",Jules Verne,Sea stories,,1987,3.88
9780861661411,From Hell,Alan Moore;Eddie Campbell;Pete Mullins,"Detective and mystery comic books, strips, etc",http://books.google.com/books/content?id=Op3iQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,4.16
9780861711765,Eight Mindful Steps to Happiness,Henepola Gunaratana,"Body, Mind & Spirit",http://books.google.com/books/content?id=O7zazYDh02wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2001,4.3
9780863567186,Assassinating Shakespeare,Thomas Goltz,Biography & Autobiography,http://books.google.com/books/content?id=RGQgAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,3.36
9780864424655,Full Circle,Luis Sep������lveda;Chris And,Travel,http://books.google.com/books/content?id=xtZlQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996,3.77
9780865165465,The Evolution of the Gilgamesh Epic,Jeffrey H. Tigay,Literary Criticism,http://books.google.com/books/content?id=cxjuHTH6I2sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2002,3.82
9780865165847,Vergil's Aeneid,Barbara Weiden Boyd,Literary Collections,http://books.google.com/books/content?id=mfGycd-8lx0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2004,4.34
9780865344921,Corroborating Evidence,William T. Rasmussen,True Crime,http://books.google.com/books/content?id=0LReHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2005,3.3
9780865471184,West with the Night,Beryl Markham,Biography & Autobiography,http://books.google.com/books/content?id=k5aXb2_Hn1EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1942,4.19
9780865471863,Moon in a Dewdrop,D������gen;Zen Master D,Philosophy,http://books.google.com/books/content?id=af-BZb7n9P8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1985,4.29
9780865476066,Suburban Nation,Andres Duany;Elizabeth Plater-Zyberk;Jeff Speck,Architecture,http://books.google.com/books/content?id=UZ0-0X4aiwQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2001,4.08
9780867196207,Rent Girl,Michelle Tea,Comics & Graphic Novels,http://books.google.com/books/content?id=xI_9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.79
9780870610639,Summa Theologica,Thomas Aquinas,"Theology, Doctrinal",http://books.google.com/books/content?id=l9R4xQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4.1
9780870678813,Crime Partners,Donald Goines,Fiction,http://books.google.com/books/content?id=y2h3qz-tuogC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000,4.22
9780870679940,Whoreson,Donald Goines,Fiction,http://books.google.com/books/content?id=D__PpFsJLvoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1972,4.33
9780870710933,The Grail,Brian Doyle;Mary Miller Doyle,Cooking,http://books.google.com/books/content?id=o0NmAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,3.97
9780871136794,Cold Mountain,Charles Frazier,Fiction,http://books.google.com/books/content?id=6hkExFYAvMEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1997,3.85
9780871139474,Sherlock Holmes,Nick Rennison,Fiction,http://books.google.com/books/content?id=_yxb9u0lVMoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2006,4.26
9780871139481,Halsey's Typhoon,Bob Drury;Thomas Clavin,History,http://books.google.com/books/content?id=SQC38ny29jAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,4.09
9780871139603,Suffer the Little Children,Donna Leon,Fiction,http://books.google.com/books/content?id=k1SqwpOolFMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2007,3.78
9780871202864,Mapping the Big Picture,Heidi Hayes Jacobs,Education,http://books.google.com/books/content?id=3Mx4QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1997,3.7
9780871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,Education,http://books.google.com/books/content?id=FWNuQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004,3.28
9780871235961,The Tutor's First Love,George MacDonald,Fiction,http://books.google.com/books/content?id=rAq9vJ_UMxIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1984,4.07
9780871401526,"Complete Poems, 1904-1962",Edward Estlin Cummings,Poetry,http://books.google.com/books/content?id=nVi0ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994,4.35
9780871401540,Selected Poems,E. E. Cummings,Poetry,http://books.google.com/books/content?id=9brwAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1994,4.22
9780871401656,Tulips and Chimneys,E. E. Cummings,Poetry,http://books.google.com/books/content?id=hbzwAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1996,4.38
9780872200470,Basic Political Writings,Jean-Jacques Rousseau,Philosophy,http://books.google.com/books/content?id=l6WQhs1BJMcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1987,3.87
9780872200562,Introduction to The Philosophy of History,G. W. F. Hegel;Leo Rauch,Philosophy,http://books.google.com/books/content?id=zQY7i7DmcYUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1988,3.73
9780872201682,"On Justice, Power, and Human Nature",Thucydides,History,http://books.google.com/books/content?id=j2VgQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993,3.72
9780872201774,Leviathan,Thomas Hobbes;Edwin M. Curley,Philosophy,http://books.google.com/books/content?id=AMnB469I8bYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1994,3.69
9780872201934,The Grand Inquisitor,Fyodor Dostoyevsky;Charles B. Guignon,Political Science,http://books.google.com/books/content?id=l27NSK53qsEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1993,4.35
9780872203495,Complete Works,Plato,Fiction,http://books.google.com/books/content?id=eSKTvJDrr5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1997,4.34
